Date,Temp. Max (°C),Temp. Min (°C),Temp. Average (°C),Temp. Normal (°C),Accumulated precipitation in mm (measured at 7am for the past 24 hours),Precipitation type,Snow depth (cm),Wind Max (m/s),Wind Average (m/s)
20/08/2017,19.9,12.2,15.3,14.9,0.2,---,---,5.2,2.5
19/08/2017,19.5,13.7,15.4,15.1,6,---,---,8.2,3.4
18/08/2017,20.1,14,16.2,15.2,14.5,---,---,6.1,2.9
17/08/2017,19.7,12.5,16.2,15.3,0,---,---,4.9,2.5
16/08/2017,22.5,14.1,17.4,15.4,29.4,---,---,5,2.6
15/08/2017,19.6,12.7,15.4,15.5,0,---,---,4.8,1.9
14/08/2017,20.2,6.9,14.8,15.6,0,---,---,5.1,2.4
13/08/2017,20.4,11.2,15.2,15.7,0.7,---,---,7.4,3.3
12/08/2017,20.7,13.4,16,15.8,0.1,---,---,5.6,3.3
11/08/2017,22.1,10.5,16.3,15.9,0,---,---,7.4,3.4
10/08/2017,23.6,12.6,17.8,15.9,42.2,---,---,4.9,2
9/08/2017,18.8,13.7,14.7,16,13,---,0,7.6,4.1
8/08/2017,20.7,12.8,16.7,16.1,3.9,---,---,4.9,2.4
7/08/2017,19.1,9.1,14.2,16.1,6.3,---,---,7.6,3
6/08/2017,18.1,13.6,15.1,16.2,8.8,---,---,4.2,1.9
5/08/2017,20.9,13.8,16.4,16.2,4,---,---,3.6,1.7
4/08/2017,21.4,13.6,15.8,16.3,9.7,---,---,4.9,2.5
3/08/2017,21.3,9.3,14.9,16.3,0.2,---,---,5.2,2.3
2/08/2017,20.2,11.7,15.5,16.3,1.2,---,---,7.2,2.6
1/08/2017,20.9,12.8,16.1,16.4,1.4,---,---,7.4,3.3
31/07/2017,21.6,13.5,16.1,16.4,9.4,---,---,8.3,4.1
30/07/2017,19.8,14.1,16.2,16.4,0.7,---,---,5.1,1.9
29/07/2017,21,12.6,16,16.4,0,---,---,5,2.3
28/07/2017,20.9,13.7,16.5,16.4,15,---,0,6.4,3.3
27/07/2017,20.3,15.7,17.1,16.5,0.3,---,---,4.1,1.5
26/07/2017,22.3,15.5,18.6,16.5,1.3,---,---,4,2.1
25/07/2017,23.9,14.7,19.9,16.5,0,---,---,5.4,3
24/07/2017,21.9,15,17.7,16.5,0.6,---,---,5.2,3.5
23/07/2017,27.3,13.9,20.2,16.5,0,---,---,4,2.3
22/07/2017,24.2,14.3,19.1,16.5,0.2,---,---,3.8,1.9
21/07/2017,23.8,13.9,17.1,16.5,0,---,---,5.7,2.6
20/07/2017,25.7,10.9,19.7,16.5,0,---,---,4,2.1
19/07/2017,22.3,13.6,17.3,16.5,0,---,---,6.5,2.8
18/07/2017,23.7,8.7,16.8,16.5,0,---,---,5.6,2.1
17/07/2017,21.7,8.3,15.5,16.5,19.7,---,---,7.3,3.5
16/07/2017,22.7,12.7,16.1,16.4,17,---,---,8.2,3.8
15/07/2017,22.9,11.4,17.1,16.4,0,---,---,7.1,3.3
14/07/2017,21.5,10.9,16.4,16.4,0,---,---,5.8,2.6
13/07/2017,20.6,7,14.8,16.4,0.1,---,---,7.9,2
12/07/2017,17.8,13,13.9,16.4,0.3,---,---,6.5,3.5
11/07/2017,17.2,13.9,15.4,16.4,9.5,---,---,4.4,3
10/07/2017,17.5,13.9,14.8,16.4,0.4,---,---,5.9,3
9/07/2017,21.4,14.3,17.1,16.4,3.7,---,---,7.3,3.4
8/07/2017,20.3,13.3,15.9,16.4,19.2,---,---,4,1.6
7/07/2017,23.5,13.2,16.4,16.3,0,---,---,5.8,2.5
6/07/2017,22.1,11.8,16,16.3,0,---,---,6.1,3.6
5/07/2017,21.4,9.7,15.5,16.3,0.6,---,---,6.2,2.8
4/07/2017,21.2,11.6,15.7,16.3,0,---,---,5.7,2.9
3/07/2017,21.5,13.8,16.2,16.2,0.1,---,---,7,3
2/07/2017,23.9,13.5,17.9,16.2,0.1,---,---,6.9,3.1
1/07/2017,26.3,14.2,20.4,16.2,0,---,---,6.3,2.6
30/06/2017,24.3,12.8,19.4,16.2,0,---,---,9,5.7
29/06/2017,21.9,14.4,17.6,16.1,0,---,---,7.4,4.5
28/06/2017,22.3,8.5,16.3,16.1,0,---,---,4.9,2.9
27/06/2017,20.3,7.8,14.6,16,1.2,---,---,6.5,2.6
26/06/2017,19.6,10.2,14.9,16,0.2,---,---,7.7,2.8
25/06/2017,19.1,8.3,14.3,16,0,---,---,7.5,3.8
24/06/2017,22.1,13.3,16.6,15.9,5.9,---,---,6.3,2.8
23/06/2017,18,13,14.8,15.9,0,---,---,4.6,2.4
22/06/2017,19.2,11.9,15.4,15.8,0.1,---,---,5.1,2
21/06/2017,20.8,9,15.4,15.7,0,---,---,6.6,2.4
20/06/2017,20.7,9.5,15.4,15.7,3.6,---,---,8.1,4.7
19/06/2017,22.8,11.6,16,15.6,0,---,0,6.6,2.9
18/06/2017,25.6,14.1,19.1,15.5,0.1,---,0,6.2,3.4
17/06/2017,23.4,12,18.1,15.5,2.3,---,0,5.3,2.5
16/06/2017,18.8,13.8,16,15.4,0.5,---,0,4,1.2
15/06/2017,22.6,11.1,16.8,15.3,0,---,0,6,2.4
14/06/2017,23,10.7,17.4,15.2,2.8,---,0,5.9,1.9
13/06/2017,22.2,11.6,16.4,15.1,0.1,---,0,8.2,3
12/06/2017,21.2,11.4,15.4,15,3.7,---,0,7,3.4
11/06/2017,14.6,12.3,13.3,14.9,9.1,---,0,4.8,2.9
10/06/2017,16.4,13.2,14.3,14.8,29.6,---,0,6.6,3.6
9/06/2017,15.4,10.3,12.4,14.7,5.9,---,0,4.5,2.1
8/06/2017,16.4,10.9,13,14.6,12,---,0,5.7,2.8
7/06/2017,16.6,10.9,13.5,14.5,0.4,---,0,9.2,4.9
6/06/2017,19.7,11.4,15.2,14.4,2.9,---,0,5.6,2.9
5/06/2017,19.2,8.3,14.5,14.2,7.7,---,0,7.1,3
4/06/2017,13.1,12.2,12.6,14.1,0.1,---,0,3.6,1.8
3/06/2017,13.4,8.6,11.3,14,1.2,---,0,3.3,1.6
2/06/2017,14.3,9.1,10.3,13.8,0.1,---,0,5.1,2.5
1/06/2017,18.8,3.5,12.1,13.7,1.2,---,0,6.4,2.5
31/05/2017,18.1,9.8,13,13.6,1.1,---,0,6.8,2.9
